id,type,huml,humw,ulnal,ulnaw,feml,femw,tibl,tibw,tarl,tarw
132,W,76.71,5.82,61.54,5.2,47.87,3.53,75.24,4.21,35.11,4.47
133,W,45.25,3.5,38.72,3.33,28.6,2.03,46.36,2.39,24.03,1.99
134,W,46.4,3.39,38.6,3.32,29,2.36,49.08,2.49,26.55,2.19
135,W,45.68,3.95,38.98,3.51,29.15,2.44,45.23,2.52,24.64,2.64
136,W,45.18,3.44,38.53,3.15,28.31,2.21,46.93,2.36,25.86,2.12
137,W,50.22,4.31,36.33,3.79,25.7,2.24,46.42,2.1,25.87,1.45
138,W,44.71,3.93,32.87,2.97,20.87,1.76,40.79,1.8,23.42,1.25
139,W,84.92,7.9,63.16,5.78,46.77,3.84,82.87,4.36,37.17,3.23
140,W,88.16,8.15,66.99,6.25,46.55,3.86,83.02,3.99,36.71,3.84
141,W,82.39,4.8,92.5,3.64,47.86,4.05,140,4.26,95.39,3.43
142,W,83.48,5.06,94.46,3.57,49.26,4.04,110,3.8,82,3.45
143,W,27.94,1.93,30.25,1.66,19.55,1.52,35.21,1.38,24.47,1.16
144,W,29.4,2.05,32.56,1.9,20.92,1.46,38.96,1.45,23.98,1.2
145,W,68.92,4.48,75.44,3.97,38.49,3.02,89.16,3.53,67.75,2.84
146,W,67.37,4.34,78.5,4.05,27.53,2.53,45.73,2.53,25.57,2.25
147,W,38.79,2.61,46.6,2.64,18.64,1.54,32.09,1.37,15.8,1.28
148,W,116.72,6.08,133.82,6.32,44.55,3.6,78.04,3.99,48.78,2.72
149,W,138.48,7.54,157,6.72,62.2,5.07,116.09,5.83,72.49,3.94
150,W,111.99,6.33,125.88,5.13,45.67,3.74,84.8,3.93,52.74,3.1
151,W,82.3,4.88,95.09,4.34,37.39,3.02,75.34,3.19,50.06,2.38
152,W,108.44,6.54,120.99,5.55,47.89,4.08,90.24,4.09,60.81,3.05
153,W,138.09,8.08,155.49,7.43,63.14,5.45,125,4.66,75.17,4.11
154,W,129.5,7.52,144,6.4,60.31,4.91,113.44,5.15,70.11,3.57
155,W,100.38,5.52,113.24,5.04,44.72,4.07,82.87,3.69,54.8,3.25
156,W,127.4,6.93,142,6.25,58.44,4.68,107.48,5.2,65.68,3.87
157,W,150,8.05,170,7.36,67.6,5.98,124.92,5.76,78.41,4.33
158,W,70.93,4.27,79.28,3.86,36.88,3.21,72.1,2.83,43.8,2.58
159,W,126.74,6.5,140,5.82,58.42,4.66,105.81,5.09,64.77,3.63
160,W,76.43,4.11,86.79,3.84,,,67.13,2.48,41.65,2.1
161,W,73.15,4.2,81.12,3.72,33.66,2.62,70.39,2.49,43.37,2.37
162,W,84.71,5.3,94.59,4.36,36.17,3.15,69.97,3.03,33.97,2.48
163,W,91.89,4.99,99.31,4.73,40.03,2.93,73.23,2.99,35.88,2.42
164,W,85,5.07,93.17,4.21,38.33,2.57,67.32,2.73,40,2.53
165,W,87.91,5.15,97.67,4.78,38.57,2.92,70.1,2.59,34.21,2.33
166,W,63.48,4.03,77.33,3.65,26.84,2.31,48.82,2.51,22.91,1.7
167,W,80,4.7,111.96,4.87,40.17,3.34,68.89,3.25,33.69,2.7
168,W,50.96,3.32,59.14,3.18,22.68,1.74,37.49,2.06,15.91,1.71
169,W,25.1,1.68,26.11,1.73,17.86,1.33,35.85,1.2,23.44,1.05
170,W,22.39,1.53,24.16,1.29,15.82,1.15,30.31,0.99,18.1,1.01
171,W,22.89,1.55,24.62,1.59,15.71,1.14,34.27,1.06,21.02,1.04
172,W,64.75,4.27,70.13,3.91,41.82,3.23,86.5,3.81,65.24,3.41
173,W,35.97,2.81,39.56,2.5,31.17,2.16,52,2.53,32.14,2.2
174,W,71.35,4.89,80.97,12,42.48,3.21,86.6,3.56,68.49,3.03
175,W,73.44,5.16,83.64,4.06,44.95,3.38,80.76,3.76,58.83,3.05
176,W,33.2,2.11,34.31,2.25,20.36,1.57,37.95,1.42,23.67,1.26
177,W,32.31,2.16,32.74,1.98,19.05,1.4,33.37,1.14,21.2,1
178,W,28.51,1.8,29.35,1.78,17.6,1.21,36.04,1.14,20.81,0.83
179,W,34.12,1.9,35.57,1.93,21.22,1.39,46.24,1.27,31.39,1.05
180,W,87.01,5.18,94.34,4.45,35.73,2.8,67.12,2.93,43.43,2.34
181,T,43.97,4.64,51.07,3.8,38.76,3.18,55.67,2.88,30.41,2.83
182,T,44.58,5.76,52.76,4.84,40.47,3.76,56.42,3.31,31.32,3.34
183,T,20.25,2.35,25.14,1.76,20.17,1.37,27.67,1.41,15.68,1.55
184,T,48.7,5.46,57.39,3.73,42.56,3.07,52.42,2.85,27.23,3.03
185,T,35.74,3.91,39.2,2.93,33.01,2.65,42.8,2.18,24.85,2.34
186,T,37.69,4.18,43.3,3.38,35,2.87,49.15,2.37,26.33,2.51
187,T,31.26,3.6,35.24,2.91,28.62,2.42,39.04,2.32,21.88,2.27
188,T,30.97,3.65,36.47,2.96,28.03,2.21,37.41,1.99,21.11,2.25
189,T,30.31,3.36,34.83,2.49,26.36,2.17,34.16,1.88,18.72,2.03
190,T,32.02,2.99,27.7,2.38,38.27,2.64,53.33,2.71,31,2.45
191,T,32.34,3.17,29.05,2.36,39.64,2.7,55.36,2.51,37.08,2.22
192,T,30.88,3.32,26.93,2.41,38.19,2.82,53.59,2.62,30.02,2.39
193,T,32.11,3.47,28.48,2.62,39.55,3.31,56.16,3,31.74,2.49
194,T,32.61,2.98,28.37,2.49,37.47,2.61,48.92,2.39,28.46,2.34
195,T,34.63,3.1,26.87,2.35,40.87,3.05,53.98,2.79,31.59,2.63
196,T,32.28,3.34,28.79,2.45,38.46,2.82,52.93,2.5,30.97,2.48
197,T,92.82,9.6,100.58,7.57,82.94,7.47,118.24,6.61,69.16,5.66
198,T,55.62,4.79,52.09,4.26,64.8,5.74,86.17,4.76,49.37,4.25
199,T,32.68,3.26,29.02,2.36,39.38,2.72,56.45,2.5,32.56,2.49
200,T,34.24,3.39,30.65,2.63,40.41,2.92,53.77,2.72,32.24,2.67
201,T,118.75,11.9,104.68,4.77,108.85,10.29,183,9.69,134,7.96
202,T,127,13.79,123.27,9.42,117.07,11.64,189,10.03,128.5,8.19
203,T,39.64,4.07,37.32,2.98,45.5,3.42,64.45,3.37,37.77,2.86
204,R,63.76,4.74,,,57.33,4.88,75.67,4.33,60.19,3.82
205,R,57.48,4.74,69.06,4.08,57.56,4.8,80.16,4.25,60.54,3.78
206,R,62.49,4.75,69.66,3.99,57.3,4.6,77.6,4.26,60.31,3.86
207,R,98.08,7.77,113.04,5.76,82.04,7.17,107.47,6.65,,
208,R,54.47,4.37,63.29,3.32,47.83,3.45,64.25,3.15,54.97,2.86
209,R,57.56,4.33,67.15,3.54,55.19,4.21,75.03,3.71,59.33,3.29
210,R,52.88,4.47,62.02,3.76,47.09,3.64,63.42,3.4,54.54,2.9
